locationId,locationName,facilityId,facilityName,facilityType,distanceKm
loc_3472,Āchāripallam Vāniyakudi,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,81.66
loc_3472,Āchāripallam Vāniyakudi,fh_54,Maintenance Dredging of Colachel Fishing Harbour,fishing_harbour,14.86
loc_3472,Āchāripallam Vāniyakudi,fh_61,Expansion and Modernization of Thengapattinam Fishing,fishing_harbour,28.39
loc_3473,Peralassery,fh_26,Expansion of Kasaragod Fishing Harbour,fishing_harbour,91.54
loc_3473,Peralassery,fh_28,Upgradation and modernization of Harbour in Puthiyappa,fishing_harbour,63.49
loc_3473,Peralassery,fh_29,Upgradation and modernization of Harbour in Koyilandy,fishing_harbour,49.63
loc_3473,Peralassery,fh_33,Maintenance dredging of existing harbor in Beypore,fishing_harbour,81.83
loc_3473,Peralassery,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,63.49
loc_3478,Pinarāyi,fh_26,Expansion of Kasaragod Fishing Harbour,fishing_harbour,93.93
loc_3478,Pinarāyi,fh_28,Upgradation and modernization of Harbour in Puthiyappa,fishing_harbour,60.85
loc_3478,Pinarāyi,fh_29,Upgradation and modernization of Harbour in Koyilandy,fishing_harbour,47.07
loc_3478,Pinarāyi,fh_33,Maintenance dredging of existing harbor in Beypore,fishing_harbour,79.18
loc_3478,Pinarāyi,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,60.85
loc_3485,Porathissery,fh_24,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",fishing_harbour,50.2
loc_3485,Porathissery,fh_27,Upgradation and modernization of Harbour in Ponnani,fishing_harbour,52.88
loc_3485,Porathissery,fh_31,Maintenance dredging of existing harbor in Chettuva,fishing_harbour,16.22
loc_3485,Porathissery,fh_32,Maintenance dredging of existing harbor in Ponnani,fishing_harbour,52.88
loc_3485,Porathissery,fh_33,Maintenance dredging of existing harbor in Beypore,fishing_harbour,98.06
loc_3485,Porathissery,fh_35,Development of Arthungal Fishing Harbor (Balance work),fishing_harbour,77.81
loc_3485,Porathissery,port_02,Cochin Port,port,46.44
loc_3487,Āmta,fh_63,Modernisation and upgradation of existing fishing harbour at Petuaghat,fishing_harbour,90.19
loc_3487,Āmta,fh_66,Modernisation and upgradation of existing fishing harbour at Kakdwip,fishing_harbour,80.14
loc_3487,Āmta,port_08,Kolkata Port,port,31.04
loc_3487,Āmta,port_09,Syama Prasad Mookerjee Port Haldia,port,61.75
