locationId,locationName,facilityId,facilityName,facilityType,distanceKm
loc_3150,Chhiri,fh_44,Development of Fishing Harbour at Satpati,fishing_harbour,77.02
loc_3154,Solsumba,fh_44,Development of Fishing Harbour at Satpati,fishing_harbour,48.88
loc_3156,Sompeta,fh_02,Development of Budugatlapalem Fishing Harbour,fishing_harbour,46.02
loc_3158,Chanod,fh_44,Development of Fishing Harbour at Satpati,fishing_harbour,73.32
loc_3163,Kammivapettai,fh_45,Development of Smart and Integrated Fishing Harbour at Karaikal,fishing_harbour,93.19
loc_3163,Kammivapettai,fh_49,Construction of Fishing Harbour at Thengaithittu,fishing_harbour,18.24
loc_3163,Kammivapettai,fh_50,Upgradation of Puducherry Fishing Harbour,fishing_harbour,21.72
loc_3163,Kammivapettai,fh_52,Up-gradation of Pazhayar Fishing Harbour,fishing_harbour,45.97
loc_3163,Kammivapettai,fh_55,Construction of Fishing harbour at Tharangampadi,fishing_harbour,81.19
loc_3163,Kammivapettai,fh_57,Development of existing Fishing Harbour at Mudhunagar,fishing_harbour,3.99
loc_3163,Kammivapettai,fh_59,Construction of Fishing harbour at Azhagankuppam,fishing_harbour,36.11
loc_3170,Tiruvankod,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,69.57
loc_3170,Tiruvankod,fh_54,Maintenance Dredging of Colachel Fishing Harbour,fishing_harbour,9.17
loc_3170,Tiruvankod,fh_61,Expansion and Modernization of Thengapattinam Fishing,fishing_harbour,17.06
loc_3180,Kurumathur,fh_26,Expansion of Kasaragod Fishing Harbour,fishing_harbour,68.67
